75.5	77	73.5472628	75.48192743	67	70	65.35854374	68.33381246
58	61	64.94709118	67.66473867	54.5	56	59.36187896	61.66587603
63.5	65	68.12962456	70.18817827	54.5	58.5	59.23486017	62.74485625
59.5	59.5	65.62744425	66.89702482	52.5	52.5	58.66637947	60.38400284
61	61.5	66.41243526	67.90246657	52	51	58.1035141	59.13022808
63	65	67.86448402	70.1477035	55.5	57.5	59.58641657	61.92114868
80.5	88.5	76.60573047	81.9425709	82	89.5	73.1183385	78.35445461
84	84.5	78.19084703	79.60968353	77.5	85.5	70.69195892	76.29079799
91	94	81.79794339	84.56709768	88.5	99.5	76.25067831	83.25858827
81	83	76.80740024	79.14257025	76.5	80.5	70.37975495	73.9191585
76	76.5	74.24908332	75.71848516	70.5	72	67.12302686	69.1997626
86	88.5	78.63466213	81.14596319	82	85	72.95504161	75.92777177
82	86.5	77.28305613	80.74813077	79	81.5	71.57805124	74.35635134
92	93.5	82.32198319	84.37736766	88	101	76.04437499	83.98282593
88	90.5	80.32863343	82.90149618	80.5	83.5	72.21748793	75.15977817
63	65.5	67.70394175	70.15010325	52.5	56	58.0306283	61.10785959
63.5	66	67.37468519	69.84074592	56.5	59.5	60.14423373	63.16510992
65.5	65.5	69.12804466	70.48856096	56.5	57	60.15184164	61.87874693
65	66	68.51281809	70.21544364	54.5	55.5	59.29750235	61.27480688
61	62	66.60036738	68.3677426	52.5	54.5	57.99800944	60.39508207
61.5	63	66.59639324	68.58311196	52	55	57.85714896	60.73564795
72.5	79.5	72.59461197	77.3103851	64	71.5	64.06684831	69.34506058
74.5	78.5	73.62287567	76.94007966	66.5	71.5	65.49896162	69.63378117
75.5	77.5	74.02056248	76.30406901	66.5	69.5	65.29567807	68.35480511
71.5	76	71.53308813	75.04021239	61.5	64	62.68676107	65.35094674
67.5	68	69.9588763	71.53462872	58	61.5	61.08806999	64.41835085
67	67.5	69.85084541	71.48055384	58	59.5	61.15325607	63.52864814
70	71	71.37710168	73.15030627	58.5	59.5	61.15825265	63.11846201
71	72.5	71.82776702	73.83239124	63	67	63.30918676	66.60586954
55	59	63.24333676	66.4273227	49.5	51.5	56.95354873	59.48666042
76.5	79	74.59289724	77.1534382	69	70	66.48187583	68.39896958
74.5	79	73.05582753	76.53270752	62.5	67.5	63.20471831	67.06111161
73.5	75	72.24755376	74.19166746	64.5	66	64.24391891	66.49510288
72.5	76.5	72.54848113	75.78757119	66.5	66.5	65.16477234	66.69318008
